char,char_id,style,basis_image,endpoint_count,branch_point_count,skeleton_pixel_count,connected_component_count,aspect_ratio,median_aspect_ratio,aspect_gap,issue_tags,audit_priority,manual_decision,manual_comment
和,u548c,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u548c.png,11,42,548,2,1.044025,0.990111,0.053914,high_branch_count;disconnected_skeleton,4,,
国,u56fd,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u56fd.png,7,20,662,1,0.809211,0.807388,0.001823,promising_candidate,4,,
山,u5c71,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u5c71.png,6,12,354,1,1.087591,0.945007,0.142584,promising_candidate,4,,
山,u5c71,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u5c71.png,7,16,398,1,1.027586,0.945007,0.082579,promising_candidate,4,,
明,u660e,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u660e.png,11,31,714,2,0.91875,0.85422,0.06453,high_branch_count;disconnected_skeleton,4,,
明,u660e,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u660e.png,2,20,611,2,1.291667,0.85422,0.437447,disconnected_skeleton;high_aspect_gap,4,,
明,u660e,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u660e.png,8,47,805,1,0.845679,0.85422,-0.008541,high_branch_count;complex_skeleton,4,,
永,u6c38,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u6c38.png,12,22,480,3,1.023392,1.055,-0.031608,high_endpoint_count;disconnected_skeleton,4,,
永,u6c38,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u6c38.png,10,12,462,3,1.560976,1.055,0.505976,disconnected_skeleton;high_aspect_gap,4,,
风,u98ce,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u98ce.png,9,16,577,2,1.116129,1.188427,-0.072298,disconnected_skeleton,4,,
风,u98ce,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u98ce.png,8,26,615,1,1.078431,1.188427,-0.109996,promising_candidate,4,,
人,u4eba,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u4eba.png,4,4,263,1,1.345588,1.414861,-0.069273,promising_candidate,2,,
人,u4eba,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u4eba.png,3,4,228,1,1.575,1.414861,0.160139,promising_candidate,2,,
人,u4eba,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u4eba.png,4,8,236,1,1.653846,1.414861,0.238985,promising_candidate,2,,
永,u6c38,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\basis_compare_u6c38.png,8,25,541,1,0.902174,1.055,-0.152826,promising_candidate,2,,
