char,style,variant,profile_source,horizontal_scale,vertical_scale,base_width,aspect_ratio,bbox_width,bbox_height,path_length,connection_count,connector_draw_length,mean_width,stroke_width_range,visual_change_expected,needs_user_review,aspect_ratio_delta,bbox_width_delta,bbox_height_delta,path_length_delta,mean_width_delta,note,output_dir,preview_png,execution_render_png,execution_debug_png,summary_json
中,lishu,current,current_style_profiles,1.18,0.82,10.0,0.997268,175.851,176.333,595.574,0,0.0,10.0,0.0,medium,True,-0.000236,2.982,3.032,9.964,0.0,Check whether lishu still looks like a globally flattened kaishu; Phase 1 is only a scale test.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4e2d_lishu_20260618_155354_372773,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4e2d_lishu_20260618_155354_372773\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4e2d_lishu_20260618_155354_372773\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4e2d_lishu_20260618_155354_372773\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u4e2d_lishu_20260618_155354_372773\summary.json
中,lishu,phase1,phase1_candidate_comparison_only,1.1989,0.8341,8.956169,0.997032,178.833,179.365,605.538,0,0.0,10.0,0.0,medium,True,-0.000236,2.982,3.032,9.964,0.0,Check whether lishu still looks like a globally flattened kaishu; Phase 1 is only a scale test.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4e2d_lishu_20260618_155354_474545,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4e2d_lishu_20260618_155354_474545\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4e2d_lishu_20260618_155354_474545\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4e2d_lishu_20260618_155354_474545\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u4e2d_lishu_20260618_155354_474545\summary.json
好,lishu,current,current_style_profiles,1.18,0.82,10.0,1.745202,253.747,145.397,802.753,0,0.0,10.0,0.0,medium,True,0.000157,4.064,2.316,12.725,0.0,Check whether lishu still looks like a globally flattened kaishu; Phase 1 is only a scale test.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u597d_lishu_20260618_155354_659916,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u597d_lishu_20260618_155354_659916\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u597d_lishu_20260618_155354_659916\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u597d_lishu_20260618_155354_659916\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u597d_lishu_20260618_155354_659916\summary.json
好,lishu,phase1,phase1_candidate_comparison_only,1.1989,0.8341,8.956169,1.745359,257.811,147.713,815.478,0,0.0,10.0,0.0,medium,True,0.000157,4.064,2.316,12.725,0.0,Check whether lishu still looks like a globally flattened kaishu; Phase 1 is only a scale test.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u597d_lishu_20260618_155354_827628,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u597d_lishu_20260618_155354_827628\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u597d_lishu_20260618_155354_827628\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u597d_lishu_20260618_155354_827628\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u597d_lishu_20260618_155354_827628\summary.json
风,lishu,current,current_style_profiles,1.18,0.82,10.0,1.714482,253.747,148.002,743.602,0,0.0,10.0,0.0,medium,True,-0.00397,4.064,2.72,12.924,0.0,Check whether lishu still looks like a globally flattened kaishu; Phase 1 is only a scale test.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u98ce_lishu_20260618_155355_346512,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u98ce_lishu_20260618_155355_346512\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u98ce_lishu_20260618_155355_346512\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u98ce_lishu_20260618_155355_346512\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u98ce_lishu_20260618_155355_346512\summary.json
风,lishu,phase1,phase1_candidate_comparison_only,1.1989,0.8341,8.956169,1.710512,257.811,150.722,756.526,0,0.0,10.0,0.0,medium,True,-0.00397,4.064,2.72,12.924,0.0,Check whether lishu still looks like a globally flattened kaishu; Phase 1 is only a scale test.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u98ce_lishu_20260618_155355_815182,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u98ce_lishu_20260618_155355_815182\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u98ce_lishu_20260618_155355_815182\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u98ce_lishu_20260618_155355_815182\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u98ce_lishu_20260618_155355_815182\summary.json
国,xingkai,current,current_style_profiles,1.03,0.98,9.5,0.848725,178.611,210.447,1928.631,7,810.947,7.29022,5.255,medium,True,-0.072728,-8.617,8.619,-8.889,-0.009108,Phase 1 only changes global scale; connector behavior is preserved from current profile.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u56fd_xingkai_20260618_155356_001160,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u56fd_xingkai_20260618_155356_001160\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u56fd_xingkai_20260618_155356_001160\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u56fd_xingkai_20260618_155356_001160\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u56fd_xingkai_20260618_155356_001160\summary.json
国,xingkai,phase1,phase1_candidate_comparison_only,0.98,1.0204,9.575023,0.775997,169.994,219.066,1919.742,7,810.536,7.281112,5.255,medium,True,-0.072728,-8.617,8.619,-8.889,-0.009108,Phase 1 only changes global scale; connector behavior is preserved from current profile.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u56fd_xingkai_20260618_155356_185820,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u56fd_xingkai_20260618_155356_185820\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u56fd_xingkai_20260618_155356_185820\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u56fd_xingkai_20260618_155356_185820\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u56fd_xingkai_20260618_155356_185820\summary.json
德,xingkai,current,current_style_profiles,1.03,0.98,9.5,1.092558,221.491,202.727,1971.169,14,878.275,7.158401,5.255,high,True,-0.094194,-10.752,8.358,-13.941,0.010414,Phase 1 only changes global scale; connector behavior is preserved from current profile.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u5fb7_xingkai_20260618_155356_429610,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u5fb7_xingkai_20260618_155356_429610\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u5fb7_xingkai_20260618_155356_429610\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u5fb7_xingkai_20260618_155356_429610\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u5fb7_xingkai_20260618_155356_429610\summary.json
德,xingkai,phase1,phase1_candidate_comparison_only,0.98,1.0204,9.575023,0.998364,210.739,211.085,1957.228,14,868.185,7.168815,5.255,high,True,-0.094194,-10.752,8.358,-13.941,0.010414,Phase 1 only changes global scale; connector behavior is preserved from current profile.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u5fb7_xingkai_20260618_155356_708861,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u5fb7_xingkai_20260618_155356_708861\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u5fb7_xingkai_20260618_155356_708861\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u5fb7_xingkai_20260618_155356_708861\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u5fb7_xingkai_20260618_155356_708861\summary.json
福,xingkai,current,current_style_profiles,1.03,0.98,9.5,1.094683,220.782,201.686,1951.564,12,886.413,7.112963,5.255,high,True,-0.094134,-10.666,8.314,-11.421,-0.006371,Phase 1 only changes global scale; connector behavior is preserved from current profile.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u798f_xingkai_20260618_155357_151952,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u798f_xingkai_20260618_155357_151952\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u798f_xingkai_20260618_155357_151952\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u798f_xingkai_20260618_155357_151952\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u798f_xingkai_20260618_155357_151952\summary.json
福,xingkai,phase1,phase1_candidate_comparison_only,0.98,1.0204,9.575023,1.000549,210.116,210.0,1940.143,12,883.578,7.106592,5.255,high,True,-0.094134,-10.666,8.314,-11.421,-0.006371,Phase 1 only changes global scale; connector behavior is preserved from current profile.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u798f_xingkai_20260618_155357_530075,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u798f_xingkai_20260618_155357_530075\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u798f_xingkai_20260618_155357_530075\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u798f_xingkai_20260618_155357_530075\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u798f_xingkai_20260618_155357_530075\summary.json
永,kaishu,current,current_style_profiles,1.0,1.0,9.0,1.064969,215.04,201.921,649.156,0,0.0,9.0,0.0,low,True,0.0,0.0,0.0,0.0,0.0,Kaishu is expected to remain almost unchanged.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u6c38_kaishu_20260618_155357_882042,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u6c38_kaishu_20260618_155357_882042\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u6c38_kaishu_20260618_155357_882042\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u6c38_kaishu_20260618_155357_882042\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\current\u6c38_kaishu_20260618_155357_882042\summary.json
永,kaishu,phase1,phase1_candidate_comparison_only,1.0,1.0,6.320909,1.064969,215.04,201.921,649.156,0,0.0,9.0,0.0,low,True,0.0,0.0,0.0,0.0,0.0,Kaishu is expected to remain almost unchanged.,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u6c38_kaishu_20260618_155358_136377,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u6c38_kaishu_20260618_155358_136377\preview.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u6c38_kaishu_20260618_155358_136377\execution_render.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u6c38_kaishu_20260618_155358_136377\execution_debug.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\phase1_profile_comparison_20260618_155353\runs\phase1\u6c38_kaishu_20260618_155358_136377\summary.json
