char,style,font_available,rendered_ok,skeleton_success,skeleton_method,font_path,basis_compare_png,font_mask_png,connected_component_count,skeleton_pixel_count,aspect_ratio,bbox_width,bbox_height,branch_point_count,endpoint_count,median_available,median_bbox_width,median_bbox_height,median_aspect_ratio,bbox_aspect_delta_vs_median,warnings
德,xingkai,True,True,True,skimage,C:\Windows\Fonts\STXINGKA.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u5fb7_xingkai.png,1,971,0.97076,166,171,79,20,True,215.04,206.864516,1.039521,-0.068761,
德,lishu,True,True,True,skimage,C:\Windows\Fonts\SIMLI.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u5fb7_lishu.png,6,748,1.46875,188,128,40,18,True,215.04,206.864516,1.039521,0.429229,
福,kaishu,True,True,True,skimage,C:\Windows\Fonts\simkai.ttf,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u798f_kaishu.png,5,834,1.141026,178,156,44,19,True,215.04,205.802005,1.044888,0.096138,
福,xingkai,True,True,True,skimage,C:\Windows\Fonts\STXINGKA.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u798f_xingkai.png,3,725,1.044586,164,157,35,12,True,215.04,205.802005,1.044888,-0.000302,
福,lishu,True,True,True,skimage,C:\Windows\Fonts\SIMLI.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u798f_lishu.png,5,780,1.487603,180,121,24,9,True,215.04,205.802005,1.044888,0.442715,
明,kaishu,True,True,True,skimage,C:\Windows\Fonts\simkai.ttf,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u660e_kaishu.png,2,714,0.91875,147,160,31,11,True,183.691458,215.04,0.85422,0.06453,
明,xingkai,True,True,True,skimage,C:\Windows\Fonts\STXINGKA.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u660e_xingkai.png,1,805,0.845679,137,162,47,8,True,183.691458,215.04,0.85422,-0.008541,
明,lishu,True,True,True,skimage,C:\Windows\Fonts\SIMLI.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u660e_lishu.png,2,611,1.291667,155,120,20,2,True,183.691458,215.04,0.85422,0.437447,
和,kaishu,True,True,True,skimage,C:\Windows\Fonts\simkai.ttf,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u548c_kaishu.png,2,597,1.104938,179,162,30,12,True,212.913523,215.04,0.990111,0.114827,
和,xingkai,True,True,True,skimage,C:\Windows\Fonts\STXINGKA.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u548c_xingkai.png,2,548,1.044025,166,159,42,11,True,212.913523,215.04,0.990111,0.053914,
和,lishu,True,True,True,skimage,C:\Windows\Fonts\SIMLI.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u548c_lishu.png,2,496,1.495798,178,119,16,8,True,212.913523,215.04,0.990111,0.505687,
风,kaishu,True,True,True,skimage,C:\Windows\Fonts\simkai.ttf,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u98ce_kaishu.png,2,577,1.116129,173,155,16,9,True,215.04,180.945019,1.188427,-0.072298,
风,xingkai,True,True,True,skimage,C:\Windows\Fonts\STXINGKA.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u98ce_xingkai.png,1,615,1.078431,165,153,26,8,True,215.04,180.945019,1.188427,-0.109996,
风,lishu,True,True,True,skimage,C:\Windows\Fonts\SIMLI.TTF,,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_outline_basis_feasibility_20260619_115008\figures\font_mask_u98ce_lishu.png,1,458,1.631579,186,114,11,5,True,215.04,180.945019,1.188427,0.443152,
