char,style,source_execution_csv,figure_path,value_mode,normalization,stroke_width_min,stroke_width_max,connector_width_min,connector_width_max,stroke_pressure_min,stroke_pressure_max,connector_pressure_min,connector_pressure_max,stroke_width_nearly_constant,connector_width_nearly_constant,needs_user_review
人,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_xingkai_20260617_200750_905177\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_per_image_u4eba_xingkai.png,pressure,per-image,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
人,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_kaishu_20260617_200750_708344\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_global_u4eba_kaishu.png,width,global,9.0,9.0,,,1.0,1.0,,,true,,true
人,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_kaishu_20260617_200750_708344\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_per_image_u4eba_kaishu.png,width,per-image,9.0,9.0,,,1.0,1.0,,,true,,true
人,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_kaishu_20260617_200750_708344\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_global_u4eba_kaishu.png,pressure,global,9.0,9.0,,,1.0,1.0,,,true,,true
人,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_kaishu_20260617_200750_708344\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_per_image_u4eba_kaishu.png,pressure,per-image,9.0,9.0,,,1.0,1.0,,,true,,true
人,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_lishu_20260617_200751_133475\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_global_u4eba_lishu.png,width,global,10.0,10.0,,,1.0,1.0,,,true,,true
人,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_lishu_20260617_200751_133475\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_per_image_u4eba_lishu.png,width,per-image,10.0,10.0,,,1.0,1.0,,,true,,true
人,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_lishu_20260617_200751_133475\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_global_u4eba_lishu.png,pressure,global,10.0,10.0,,,1.0,1.0,,,true,,true
人,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4eba_lishu_20260617_200751_133475\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_per_image_u4eba_lishu.png,pressure,per-image,10.0,10.0,,,1.0,1.0,,,true,,true
中,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4e2d_kaishu_20260617_200746_949523\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_global_u4e2d_kaishu.png,width,global,9.0,9.0,,,1.0,1.0,,,true,,true
中,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4e2d_kaishu_20260617_200746_949523\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_per_image_u4e2d_kaishu.png,width,per-image,9.0,9.0,,,1.0,1.0,,,true,,true
中,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4e2d_kaishu_20260617_200746_949523\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_global_u4e2d_kaishu.png,pressure,global,9.0,9.0,,,1.0,1.0,,,true,,true
中,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4e2d_kaishu_20260617_200746_949523\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_per_image_u4e2d_kaishu.png,pressure,per-image,9.0,9.0,,,1.0,1.0,,,true,,true
中,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4e2d_lishu_20260617_200747_434585\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_global_u4e2d_lishu.png,width,global,10.0,10.0,,,1.0,1.0,,,true,,true
中,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4e2d_lishu_20260617_200747_434585\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_per_image_u4e2d_lishu.png,width,per-image,10.0,10.0,,,1.0,1.0,,,true,,true
中,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4e2d_lishu_20260617_200747_434585\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_global_u4e2d_lishu.png,pressure,global,10.0,10.0,,,1.0,1.0,,,true,,true
中,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4e2d_lishu_20260617_200747_434585\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_per_image_u4e2d_lishu.png,pressure,per-image,10.0,10.0,,,1.0,1.0,,,true,,true
中,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4e2d_xingkai_20260617_200747_188596\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_global_u4e2d_xingkai.png,width,global,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
中,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4e2d_xingkai_20260617_200747_188596\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_per_image_u4e2d_xingkai.png,width,per-image,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
中,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4e2d_xingkai_20260617_200747_188596\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_global_u4e2d_xingkai.png,pressure,global,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
中,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u4e2d_xingkai_20260617_200747_188596\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_per_image_u4e2d_xingkai.png,pressure,per-image,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
和,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u548c_kaishu_20260617_200754_846285\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_global_u548c_kaishu.png,width,global,9.0,9.0,,,1.0,1.0,,,true,,true
和,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u548c_kaishu_20260617_200754_846285\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_per_image_u548c_kaishu.png,width,per-image,9.0,9.0,,,1.0,1.0,,,true,,true
和,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u548c_kaishu_20260617_200754_846285\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_global_u548c_kaishu.png,pressure,global,9.0,9.0,,,1.0,1.0,,,true,,true
和,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u548c_kaishu_20260617_200754_846285\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_per_image_u548c_kaishu.png,pressure,per-image,9.0,9.0,,,1.0,1.0,,,true,,true
和,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u548c_lishu_20260617_200755_453193\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_global_u548c_lishu.png,width,global,10.0,10.0,,,1.0,1.0,,,true,,true
和,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u548c_lishu_20260617_200755_453193\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_per_image_u548c_lishu.png,width,per-image,10.0,10.0,,,1.0,1.0,,,true,,true
和,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u548c_lishu_20260617_200755_453193\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_global_u548c_lishu.png,pressure,global,10.0,10.0,,,1.0,1.0,,,true,,true
和,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u548c_lishu_20260617_200755_453193\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_per_image_u548c_lishu.png,pressure,per-image,10.0,10.0,,,1.0,1.0,,,true,,true
和,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u548c_xingkai_20260617_200755_134353\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_global_u548c_xingkai.png,width,global,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
和,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u548c_xingkai_20260617_200755_134353\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_per_image_u548c_xingkai.png,width,per-image,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
和,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u548c_xingkai_20260617_200755_134353\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_global_u548c_xingkai.png,pressure,global,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
和,xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u548c_xingkai_20260617_200755_134353\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_per_image_u548c_xingkai.png,pressure,per-image,9.5,9.5,4.245,4.245,1.0,1.0,0.338,0.338,true,true,true
好,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u597d_kaishu_20260617_200753_941974\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_global_u597d_kaishu.png,width,global,9.0,9.0,,,1.0,1.0,,,true,,true
好,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u597d_kaishu_20260617_200753_941974\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_per_image_u597d_kaishu.png,width,per-image,9.0,9.0,,,1.0,1.0,,,true,,true
好,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u597d_kaishu_20260617_200753_941974\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_global_u597d_kaishu.png,pressure,global,9.0,9.0,,,1.0,1.0,,,true,,true
好,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u597d_kaishu_20260617_200753_941974\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_per_image_u597d_kaishu.png,pressure,per-image,9.0,9.0,,,1.0,1.0,,,true,,true
好,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u597d_lishu_20260617_200754_538622\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_global_u597d_lishu.png,width,global,10.0,10.0,,,1.0,1.0,,,true,,true
好,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u597d_lishu_20260617_200754_538622\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_per_image_u597d_lishu.png,width,per-image,10.0,10.0,,,1.0,1.0,,,true,,true
好,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u597d_lishu_20260617_200754_538622\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_global_u597d_lishu.png,pressure,global,10.0,10.0,,,1.0,1.0,,,true,,true
好,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u597d_lishu_20260617_200754_538622\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_per_image_u597d_lishu.png,pressure,per-image,10.0,10.0,,,1.0,1.0,,,true,,true
风,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u98ce_kaishu_20260617_200803_912432\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_global_u98ce_kaishu.png,width,global,9.0,9.0,,,1.0,1.0,,,true,,true
风,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u98ce_kaishu_20260617_200803_912432\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_per_image_u98ce_kaishu.png,width,per-image,9.0,9.0,,,1.0,1.0,,,true,,true
风,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u98ce_kaishu_20260617_200803_912432\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_global_u98ce_kaishu.png,pressure,global,9.0,9.0,,,1.0,1.0,,,true,,true
风,kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u98ce_kaishu_20260617_200803_912432\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_per_image_u98ce_kaishu.png,pressure,per-image,9.0,9.0,,,1.0,1.0,,,true,,true
风,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u98ce_lishu_20260617_200805_153657\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_global_u98ce_lishu.png,width,global,10.0,10.0,,,1.0,1.0,,,true,,true
风,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u98ce_lishu_20260617_200805_153657\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\width_per_image_u98ce_lishu.png,width,per-image,10.0,10.0,,,1.0,1.0,,,true,,true
风,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u98ce_lishu_20260617_200805_153657\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_global_u98ce_lishu.png,pressure,global,10.0,10.0,,,1.0,1.0,,,true,,true
风,lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_diagnostics_20260617_200746\u98ce_lishu_20260617_200805_153657\execution_trajectory.csv,experiments\llm_style_trajectory\outputs\width_pressure_visualization_20260618_101349\figures\pressure_per_image_u98ce_lishu.png,pressure,per-image,10.0,10.0,,,1.0,1.0,,,true,,true
