char,style,variant,source_case_dir,execution_csv,connection_count,connector_draw_length,connector_mean_width,connector_mean_pressure,stroke_width_range,stroke_pressure_range,path_length,has_curved_connector,connector_reduction_vs_baseline,connector_increase_vs_conservative,kaishu_lishu_connector_violation,needs_user_review,review_focus,compare_png,width_pressure_png
和,xingkai,conservative,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u548c_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u548c_xingkai\conservative_execution_trajectory.csv,2,101.215,4.245,0.338,3.229996,0.18,1375.187,False,5,0,False,True,人工看图：balanced 未比 conservative 增加 connector，确认是否仍偏保守。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u548c_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u548c_xingkai.png
和,xingkai,balanced,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u548c_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u548c_xingkai\balanced_execution_trajectory.csv,2,102.119,4.245,0.338,4.179995,0.22,1376.092,True,5,0,False,True,人工看图：balanced 未比 conservative 增加 connector，确认是否仍偏保守。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u548c_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u548c_xingkai.png
中,xingkai,baseline,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4e2d_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4e2d_xingkai\baseline_execution_trajectory.csv,3,310.785,4.245,0.338,0.0,0.0,915.163,False,0,3,False,True,人工看图：balanced 未比 conservative 增加 connector，确认是否仍偏保守。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4e2d_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u4e2d_xingkai.png
中,xingkai,conservative,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4e2d_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4e2d_xingkai\conservative_execution_trajectory.csv,0,0.0,0.0,0.0,3.229764,0.179987,915.163,False,3,0,False,True,人工看图：balanced 未比 conservative 增加 connector，确认是否仍偏保守。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4e2d_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u4e2d_xingkai.png
中,xingkai,balanced,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4e2d_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4e2d_xingkai\balanced_execution_trajectory.csv,0,0.0,0.0,0.0,4.179694,0.219984,915.163,False,3,0,False,True,人工看图：balanced 未比 conservative 增加 connector，确认是否仍偏保守。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4e2d_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u4e2d_xingkai.png
人,xingkai,baseline,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4eba_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4eba_xingkai\baseline_execution_trajectory.csv,1,131.331,4.245,0.338,0.0,0.0,484.146,False,0,1,False,True,人工看图：balanced 未比 conservative 增加 connector，确认是否仍偏保守。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4eba_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u4eba_xingkai.png
人,xingkai,conservative,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4eba_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4eba_xingkai\conservative_execution_trajectory.csv,0,0.0,0.0,0.0,3.226268,0.179843,484.146,False,1,0,False,True,人工看图：balanced 未比 conservative 增加 connector，确认是否仍偏保守。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4eba_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u4eba_xingkai.png
人,xingkai,balanced,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4eba_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4eba_xingkai\balanced_execution_trajectory.csv,0,0.0,0.0,0.0,4.175273,0.21979,484.146,False,1,0,False,True,人工看图：balanced 未比 conservative 增加 connector，确认是否仍偏保守。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4eba_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u4eba_xingkai.png
明,xingkai,baseline,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u660e_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u660e_xingkai\baseline_execution_trajectory.csv,7,785.3,4.245,0.338,0.0,0.0,1750.842,False,0,7,False,True,人工看图：确认 balanced 是否比 conservative 更有行楷味，同时没有回到全连。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u660e_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u660e_xingkai.png
明,xingkai,conservative,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u660e_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u660e_xingkai\conservative_execution_trajectory.csv,0,0.0,0.0,0.0,3.229995,0.18,1750.842,False,7,0,False,True,人工看图：确认 balanced 是否比 conservative 更有行楷味，同时没有回到全连。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u660e_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u660e_xingkai.png
明,xingkai,balanced,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u660e_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u660e_xingkai\balanced_execution_trajectory.csv,1,77.414,4.245,0.338,4.179994,0.22,1751.527,True,6,1,False,True,人工看图：确认 balanced 是否比 conservative 更有行楷味，同时没有回到全连。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u660e_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u660e_xingkai.png
林,xingkai,baseline,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u6797_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u6797_xingkai\baseline_execution_trajectory.csv,7,603.738,4.245,0.338,0.0,0.0,1460.37,False,0,7,False,True,人工看图：确认 balanced 是否比 conservative 更有行楷味，同时没有回到全连。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u6797_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u6797_xingkai.png
林,xingkai,conservative,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u6797_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u6797_xingkai\conservative_execution_trajectory.csv,0,0.0,0.0,0.0,3.229995,0.18,1460.37,False,7,0,False,True,人工看图：确认 balanced 是否比 conservative 更有行楷味，同时没有回到全连。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u6797_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u6797_xingkai.png
林,xingkai,balanced,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u6797_xingkai,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u6797_xingkai\balanced_execution_trajectory.csv,1,45.707,4.245,0.338,4.179994,0.22,1460.774,True,6,1,False,True,人工看图：确认 balanced 是否比 conservative 更有行楷味，同时没有回到全连。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u6797_xingkai.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u6797_xingkai.png
人,kaishu,baseline,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4eba_kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4eba_kaishu\baseline_execution_trajectory.csv,0,0.0,0.0,0.0,0.0,0.0,482.036,False,0,0,False,True,人工看图：确认非行楷仍无 connector，且 expressive 改动没有误作用。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4eba_kaishu.png,
人,kaishu,conservative,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4eba_kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4eba_kaishu\conservative_execution_trajectory.csv,0,0.0,0.0,0.0,3.054751,0.179767,482.036,False,0,0,False,True,人工看图：确认非行楷仍无 connector，且 expressive 改动没有误作用。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4eba_kaishu.png,
人,kaishu,balanced,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4eba_kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4eba_kaishu\balanced_execution_trajectory.csv,0,0.0,0.0,0.0,3.054751,0.179767,482.036,False,0,0,False,True,人工看图：确认非行楷仍无 connector，且 expressive 改动没有误作用。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4eba_kaishu.png,
人,lishu,baseline,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4eba_lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4eba_lishu\baseline_execution_trajectory.csv,0,0.0,0.0,0.0,0.0,0.0,485.474,False,0,0,False,True,人工看图：确认非行楷仍无 connector，且 expressive 改动没有误作用。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4eba_lishu.png,
人,lishu,conservative,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4eba_lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4eba_lishu\conservative_execution_trajectory.csv,0,0.0,0.0,0.0,3.3998,0.179989,485.474,False,0,0,False,True,人工看图：确认非行楷仍无 connector，且 expressive 改动没有误作用。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4eba_lishu.png,
人,lishu,balanced,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4eba_lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4eba_lishu\balanced_execution_trajectory.csv,0,0.0,0.0,0.0,3.3998,0.179989,485.474,False,0,0,False,True,人工看图：确认非行楷仍无 connector，且 expressive 改动没有误作用。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4eba_lishu.png,
中,kaishu,baseline,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4e2d_kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4e2d_kaishu\baseline_execution_trajectory.csv,0,0.0,0.0,0.0,0.0,0.0,912.996,False,0,0,False,True,人工看图：确认非行楷仍无 connector，且 expressive 改动没有误作用。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4e2d_kaishu.png,
中,kaishu,conservative,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4e2d_kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4e2d_kaishu\conservative_execution_trajectory.csv,0,0.0,0.0,0.0,3.059968,0.179998,912.996,False,0,0,False,True,人工看图：确认非行楷仍无 connector，且 expressive 改动没有误作用。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4e2d_kaishu.png,
中,kaishu,balanced,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4e2d_kaishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4e2d_kaishu\balanced_execution_trajectory.csv,0,0.0,0.0,0.0,3.059968,0.179998,912.996,False,0,0,False,True,人工看图：确认非行楷仍无 connector，且 expressive 改动没有误作用。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4e2d_kaishu.png,
中,lishu,baseline,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4e2d_lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4e2d_lishu\baseline_execution_trajectory.csv,0,0.0,0.0,0.0,0.0,0.0,904.94,False,0,0,False,True,人工看图：确认非行楷仍无 connector，且 expressive 改动没有误作用。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4e2d_lishu.png,
中,lishu,conservative,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4e2d_lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4e2d_lishu\conservative_execution_trajectory.csv,0,0.0,0.0,0.0,3.399991,0.18,904.94,False,0,0,False,True,人工看图：确认非行楷仍无 connector，且 expressive 改动没有误作用。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4e2d_lishu.png,
中,lishu,balanced,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\execution_refinement_validation_20260618_120238\cases\u4e2d_lishu,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\cases\u4e2d_lishu\balanced_execution_trajectory.csv,0,0.0,0.0,0.0,3.399991,0.18,904.94,False,0,0,False,True,人工看图：确认非行楷仍无 connector，且 expressive 改动没有误作用。,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u4e2d_lishu.png,
